place_id,author_name,language,original_language,rating,relative_time_description,text,time,translated,food,service,atmosphere,to_be_removed
,,,,,,insincere order processing too loud mood,,,,Negative,Negative,
,,,,,,dismissive caretaker sterile environment,,,,Negative,Negative,
,,,,,,overbearing housekeeper isolated art,,,,Negative,Negative,
,,,,,,disrespectful manager dirty ambiance,,,,Negative,Negative,
,,,,,,awkward guide noisy interior,,,,Negative,Negative,
,,,,,,too salty tea overworked team member noisy energy,,,Negative,Negative,Negative,
,,,,,,irritating automated service too bright ambience,,,,Negative,Negative,
,,,,,,flavorless waffles nonchalant bellboy cluttered comfort,,,Negative,Negative,Negative,
,,,,,,unaccommodating check-in stressful coziness,,,,Negative,Negative,
,,,,,,mediocre potatoes impolite helper too bright layout,,,Negative,Negative,Negative,
,,,,,,disorganized team member depressing warmth,,,,Negative,Negative,
,,,,,,cold tea nonchalant waiter unwelcoming hospitality,,,Negative,Negative,Negative,
,,,,,,unresponsive bellboy cold coziness,,,,Negative,Negative,
,,,,,,rotten banquet disengaged call center harsh design,,,Negative,Negative,Negative,
,,,,,,unskilled caretaker noisy feel,,,,Negative,Negative,
,,,,,,unfresh treat unpleasant attendant chaotic outdoor,,,Negative,Negative,Negative,
,,,,,,unpleasant helper oppressive sound,,,,Negative,Negative,
,,,,,,smelly meal unpleasant valet noisy outdoor,,,Negative,Negative,Negative,
,,,,,,clumsy remote service unrelaxed acoustics,,,,Negative,Negative,
,,,,,,lumpy salad clumsy host uncomfortable interior,,,Negative,Negative,Negative,
,,,,,,disorganized delivery person too loud tone,,,,Negative,Negative,
,,,,,,stringy cake unpleasant host disagreeable visuals,,,Negative,Negative,Negative,
,,,,,,rude e-commerce unbalanced sound,,,,Negative,Negative,
,,,,,,stale wrap incompetent chatbot unpolished vibration,,,Negative,Negative,Negative,
,,,,,,unhelpful helper disagreeable mood,,,,Negative,Negative,
,,,,,,cold fish and chips disorganized host dark vibe,,,Negative,Negative,Negative,
,,,,,,dismissive customer inquiry cold furnishing,,,,Negative,Negative,
,,,,,,rubbery appetizer unskilled telephonic service dark comfort,,,Negative,Negative,Negative,
,,,,,,slow order taker awkward energy,,,,Negative,Negative,
,,,,,,spoiled ice cream arrogant technician uncomfortable coziness,,,Negative,Negative,Negative,
,,,,,,overwhelmed server too loud ambience,,,,Negative,Negative,
,,,,,,gummy gravy unpleasant service representative soulless decor,,,Negative,Negative,Negative,
,,,,,,unfriendly clerk stuffy atmosphere,,,,Negative,Negative,
,,,,,,spoiled potatoes disrespectful attendant cold surroundings,,,Negative,Negative,Negative,
,,,,,,untrustworthy team dark surroundings,,,,Negative,Negative,
,,,,,,undercooked buffet distracting support agent bland comfort,,,Negative,Negative,Negative,
,,,,,,unpleasant phone ordering dirty energy,,,,Negative,Negative,
,,,,,,greasy entree nonchalant account manager disagreeable aura,,,Negative,Negative,Negative,
,,,,,,inadequate support unwelcoming temperature,,,,Negative,Negative,
,,,,,,unrefined smoothie overworked attendant chaotic outdoor,,,Negative,Negative,Negative,
,,,,,,awkward housekeeper stressful vibe,,,,Negative,Negative,
,,,,,,unflavorful course disinterested staff chaotic tone,,,Negative,Negative,Negative,
,,,,,,nonchalant digital assistant stressful sound,,,,Negative,Negative,
,,,,,,stringy steak dismissive virtual assistant unromantic atmosphere,,,Negative,Negative,Negative,
,,,,,,unhelpful bartender unappealing setting,,,,Negative,Negative,
,,,,,,too salty spread inefficient help desk overcrowded lighting,,,Negative,Negative,Negative,
,,,,,,unconsiderate staff noisy acoustics,,,,Negative,Negative,
,,,,,,smelly soup impolite guide harsh lighting layout,,,Negative,Negative,Negative,
,,,,,,distracting technician noisy sight,,,,Negative,Negative,
,,,,,,salty treat careless online ordering chaotic surroundings,,,Negative,Negative,Negative,
,,,,,,unhelpful order processing disagreeable mood,,,,Negative,Negative,
,,,,,,disgusting pie unpleasant support agent unrelaxed temperature,,,Negative,Negative,Negative,
,,,,,,inattentive order confirmation stressful indoor,,,,Negative,Negative,
,,,,,,dry cocktail disengaged waitperson uncomfortable space,,,Negative,Negative,Negative,
,,,,,,untrustworthy waitstaff unpolished structure,,,,Negative,Negative,
,,,,,,slimy snack awkward technician shabby ambience,,,Negative,Negative,Negative,
,,,,,,unpleasant housekeeper cold comfort,,,,Negative,Negative,
,,,,,,salty steak inadequate clerk unwelcoming decor,,,Negative,Negative,Negative,
,,,,,,insincere concierge bland structure,,,,Negative,Negative,
,,,,,,rubbery breakfast impolite customer service harsh layout,,,Negative,Negative,Negative,
,,,,,,unpleasant account manager too loud setting,,,,Negative,Negative,
,,,,,,unpleasant feast annoying customer inquiry unbalanced warmth,,,Negative,Negative,Negative,
,,,,,,slow account manager uncomfortable atmosphere,,,,Negative,Negative,
,,,,,,burnt ice cream impolite service desk too bright sound,,,Negative,Negative,Negative,
,,,,,,impolite bartender dark charm,,,,Negative,Negative,
,,,,,,gross tea unfriendly attendant unsightly air,,,Negative,Negative,Negative,
,,,,,,inefficient support disorienting art,,,,Negative,Negative,
,,,,,,unripe gravy impolite order taker unbalanced space,,,Negative,Negative,Negative,
,,,,,,clumsy telephonic service unpolished comfort,,,,Negative,Negative,
,,,,,,inadequate fried rice unpleasant concierge chaotic tone,,,Negative,Negative,Negative,
,,,,,,awkward online support unpleasant comfort,,,,Negative,Negative,
,,,,,,dry tacos unaccommodating remote service chaotic ambience,,,Negative,Negative,Negative,
,,,,,,awkward caregiver stale lighting,,,,Negative,Negative,
,,,,,,stale delicacy poor team member sterile background,,,Negative,Negative,Negative,
,,,,,,inadequate staff unpleasant aura,,,,Negative,Negative,
,,,,,,sour pie awkward receptionist depressing space,,,Negative,Negative,Negative,
,,,,,,unpleasant technician chaotic space,,,,Negative,Negative,
,,,,,,too salty sushi disrespectful customer care too bright ambience,,,Negative,Negative,Negative,
,,,,,,disorganized service desk chaotic comfort,,,,Negative,Negative,
,,,,,,unfresh muffin disinterested housekeeper unromantic ambiance,,,Negative,Negative,Negative,
,,,,,,awkward team member cold charm,,,,Negative,Negative,
,,,,,,spoiled concoction untrustworthy helper unappealing vibration,,,Negative,Negative,Negative,
,,,,,,arrogant manager unbalanced furniture,,,,Negative,Negative,
,,,,,,bitter waffles slow receptionist soulless warmth,,,Negative,Negative,Negative,
,,,,,,nonchalant service desk uninspiring comfort,,,,Negative,Negative,
,,,,,,spoiled coffee inadequate security too loud surroundings,,,Negative,Negative,Negative,
,,,,,,clumsy guide noisy charm,,,,Negative,Negative,
,,,,,,bland pasta disinterested service representative stale setting,,,Negative,Negative,Negative,
,,,,,,incompetent busboy dull hospitality,,,,Negative,Negative,
,,,,,,greasy cake disengaged order taker unsophisticated comfort,,,Negative,Negative,Negative,
,,,,,,disengaged delivery noisy aura,,,,Negative,Negative,
,,,,,,disgusting sushi rolls rude support hotline uncomfortable atmosphere,,,Negative,Negative,Negative,
,,,,,,careless assistant too loud music,,,,Negative,Negative,
,,,,,,smelly waffles overbearing customer care uncomfortable layout,,,Negative,Negative,Negative,
,,,,,,unaccommodating receptionist bland charm,,,,Negative,Negative,
,,,,,,gummy burger poor order processing unsophisticated furnishing,,,Negative,Negative,Negative,
,,,,,,irritating security too loud sight,,,,Negative,Negative,
,,,,,,tasteless potatoes nonchalant team awkward lighting,,,Negative,Negative,Negative,
,,,,,,overbearing attendant unfriendly outlook,,,,Negative,Negative,
,,,,,,greasy chocolate arrogant delivery service stuffy layout,,,Negative,Negative,Negative,
,,,,,,dismissive helper stale art,,,,Negative,Negative,
,,,,,,stringy buffet unaccommodating attendant shabby space,,,Negative,Negative,Negative,
,,,,,,poor guide stale energy,,,,Negative,Negative,
,,,,,,inadequate buffet hasty automated service harsh lighting view,,,Negative,Negative,Negative,
,,,,,,annoying bellboy stressful temperature,,,,Negative,Negative,
,,,,,,dry hamburger slow delivery person soulless layout,,,Negative,Negative,Negative,
,,,,,,unhelpful concierge depressing interior,,,,Negative,Negative,
,,,,,,unappetizing meal inefficient helper unwelcoming room,,,Negative,Negative,Negative,
,,,,,,distracting team stale art,,,,Negative,Negative,
,,,,,,unflavorful chocolate arrogant maintenance unwelcoming atmosphere,,,Negative,Negative,Negative,
,,,,,,arrogant order tracking overcrowded charm,,,,Negative,Negative,
,,,,,,awful brunch disengaged help desk awkward environment,,,Negative,Negative,Negative,
,,,,,,incompetent concierge chaotic atmosphere,,,,Negative,Negative,
,,,,,,sour banquet hostile service representative unpleasant sound,,,Negative,Negative,Negative,
,,,,,,disrespectful concierge depressing room,,,,Negative,Negative,
,,,,,,greasy pizza distracting customer care dark charm,,,Negative,Negative,Negative,
,,,,,,disorganized bellboy chaotic charm,,,,Negative,Negative,
,,,,,,unhealthy tofu clumsy live chat awkward mood,,,Negative,Negative,Negative,
,,,,,,disorganized housekeeper unpleasant space,,,,Negative,Negative,
,,,,,,greasy chocolate clumsy dishwasher unpleasant outlook,,,Negative,Negative,Negative,
,,,,,,unprofessional guide stressful feel,,,,Negative,Negative,
,,,,,,undercooked soft drink awkward customer service uncomfortable environment,,,Negative,Negative,Negative,
,,,,,,unpleasant technician too loud layout,,,,Negative,Negative,
,,,,,,unappetizing chicken unhelpful waitress noisy mood,,,Negative,Negative,Negative,
,,,,,,untrustworthy clerk unpolished comfort,,,,Negative,Negative,
,,,,,,chewy cookies unresponsive order taker unpleasant feel,,,Negative,Negative,Negative,
,,,,,,overworked help desk isolated sound,,,,Negative,Negative,
,,,,,,inadequate burger dismissive live chat harsh outdoor,,,Negative,Negative,Negative,
,,,,,,overbearing valet sterile background,,,,Negative,Negative,
,,,,,,burnt dessert insincere dishwasher uninspiring setting,,,Negative,Negative,Negative,
,,,,,,distracting order tracking uncomfortable style,,,,Negative,Negative,
,,,,,,mushy delicacy impolite account manager harsh lighting feelings,,,Negative,Negative,Negative,
,,,,,,clumsy live chat sterile charm,,,,Negative,Negative,
,,,,,,salty snack awkward order processing too bright decor,,,Negative,Negative,Negative,
,,,,,,annoying service desk cluttered furniture,,,,Negative,Negative,
,,,,,,chewy snack disrespectful virtual assistant uninviting temperature,,,Negative,Negative,Negative,
,,,,,,irritating pickup service boring setting,,,,Negative,Negative,
,,,,,,burnt spread untrustworthy delivery service unsightly ambiance,,,Negative,Negative,Negative,
,,,,,,unhelpful order tracking harsh lighting feelings,,,,Negative,Negative,
,,,,,,chewy dish overwhelmed customer inquiry noisy furnishing,,,Negative,Negative,Negative,
,,,,,,impolite attendant unfriendly space,,,,Negative,Negative,
,,,,,,stale pasta unconsiderate security unpolished feel,,,Negative,Negative,Negative,
,,,,,,unreliable order processing unpleasant sight,,,,Negative,Negative,
,,,,,,awful fish unconsiderate account manager uncomfortable visuals,,,Negative,Negative,Negative,
,,,,,,unconsiderate housekeeper unfriendly visuals,,,,Negative,Negative,
,,,,,,chewy main course impolite support agent dull setting,,,Negative,Negative,Negative,
,,,,,,rude guide stressful music,,,,Negative,Negative,
,,,,,,mushy paella disrespectful order processing uninspiring comfort,,,Negative,Negative,Negative,
,,,,,,confused customer service unrelaxed furnishing,,,,Negative,Negative,
,,,,,,unfresh tea careless valet unrelaxed background,,,Negative,Negative,Negative,
,,,,,,distracting valet unromantic charm,,,,Negative,Negative,
,,,,,,unfresh sushi rolls disinterested virtual assistant shabby structure,,,Negative,Negative,Negative,
,,,,,,overbearing customer inquiry dull space,,,,Negative,Negative,
,,,,,,tough side dish insincere security unrelaxed furniture,,,Negative,Negative,Negative,
,,,,,,cold customer inquiry stressful style,,,,Negative,Negative,
,,,,,,inadequate meal unaware delivery isolated aura,,,Negative,Negative,Negative,
,,,,,,inefficient caregiver uncomfortable acoustics,,,,Negative,Negative,
,,,,,,tasteless spaghetti impolite order confirmation stressful outlook,,,Negative,Negative,Negative,
,,,,,,careless digital assistant too loud style,,,,Negative,Negative,
,,,,,,salty salad unaware manager dirty charm,,,Negative,Negative,Negative,
,,,,,,disengaged attendant boring furnishing,,,,Negative,Negative,
,,,,,,gross buffet overbearing guide chaotic art,,,Negative,Negative,Negative,
,,,,,,disengaged support hotline dirty sound,,,,Negative,Negative,
,,,,,,stringy pancakes clumsy attendant harsh lighting view,,,Negative,Negative,Negative,
,,,,,,disrespectful security disagreeable aura,,,,Negative,Negative,
,,,,,,too salty coffee unreliable support agent uncomfortable coziness,,,Negative,Negative,Negative,
,,,,,,clumsy attendant unpleasant acoustics,,,,Negative,Negative,
,,,,,,tough bread slow automated service unrelaxed setting,,,Negative,Negative,Negative,
,,,,,,unhelpful delivery stuffy mood,,,,Negative,Negative,
,,,,,,too salty rice inattentive order confirmation uninspiring design,,,Negative,Negative,Negative,
,,,,,,unhelpful hostess unpleasant style,,,,Negative,Negative,
,,,,,,stale course irritating helper noisy energy,,,Negative,Negative,Negative,
,,,,,,annoying support boring charm,,,,Negative,Negative,
,,,,,,unfresh soup rude chef disorienting setting,,,Negative,Negative,Negative,
,,,,,,incompetent customer care unsightly furniture,,,,Negative,Negative,
,,,,,,spoiled steak unpleasant bellboy dark charm,,,Negative,Negative,Negative,
,,,,,,unaware support unrelaxed design,,,,Negative,Negative,
,,,,,,salty lasagna irritating hostess isolated lighting,,,Negative,Negative,Negative,
,,,,,,slow delivery noisy hospitality,,,,Negative,Negative,
,,,,,,spoiled spread unconsiderate technician boring sound,,,Negative,Negative,Negative,
,,,,,,disrespectful delivery disorienting sight,,,,Negative,Negative,
,,,,,,burnt fish and chips nonchalant check-in too loud space,,,Negative,Negative,Negative,
,,,,,,unskilled reservation uncomfortable ambience,,,,Negative,Negative,
,,,,,,over-sweetened noodles overworked support hotline isolated tone,,,Negative,Negative,Negative,
,,,,,,unresponsive helper unpleasant environment,,,,Negative,Negative,
,,,,,,dry meal unpleasant e-commerce disorienting ambiance,,,Negative,Negative,Negative,
,,,,,,impolite concierge unbalanced outdoor,,,,Negative,Negative,
,,,,,,spoiled quiche awkward bellboy cold background,,,Negative,Negative,Negative,
,,,,,,unprofessional service representative disorienting ambience,,,,Negative,Negative,
,,,,,,undercooked platter insincere help desk uncomfortable air,,,Negative,Negative,Negative,
,,,,,,impolite waitstaff chaotic interior,,,,Negative,Negative,
,,,,,,unappetizing steak unpleasant call center sterile view,,,Negative,Negative,Negative,
,,,,,,incompetent waitress stale room,,,,Negative,Negative,
,,,,,,unfresh steak overwhelmed online support dark ambiance,,,Negative,Negative,Negative,
,,,,,,irritating online ordering unfriendly temperature,,,,Negative,Negative,
,,,,,,unfresh chocolate unconsiderate concierge dark temperature,,,Negative,Negative,Negative,
,,,,,,incompetent caretaker oppressive hospitality,,,,Negative,Negative,
,,,,,,awful dessert poor bartender unwelcoming temperature,,,Negative,Negative,Negative,
,,,,,,inattentive assistant dull space,,,,Negative,Negative,
,,,,,,greasy tea unprofessional manager boring hospitality,,,Negative,Negative,Negative,
,,,,,,unfriendly concierge unwelcoming charm,,,,Negative,Negative,
,,,,,,over-sweetened cookies unskilled automated service dark atmosphere,,,Negative,Negative,Negative,
,,,,,,disorganized customer support too bright visuals,,,,Negative,Negative,
,,,,,,bitter paella overwhelmed order confirmation oppressive air,,,Negative,Negative,Negative,
,,,,,,unpleasant support hotline oppressive style,,,,Negative,Negative,
,,,,,,unpleasant platter unpleasant dishwasher harsh setting,,,Negative,Negative,Negative,
,,,,,,slow call center uncomfortable hospitality,,,,Negative,Negative,
,,,,,,unflavorful main course dismissive bellboy uninspiring warmth,,,Negative,Negative,Negative,
,,,,,,impolite manager cold design,,,,Negative,Negative,
,,,,,,unpleasant soup unskilled caregiver stuffy temperature,,,Negative,Negative,Negative,
,,,,,,cold customer care uninviting furnishing,,,,Negative,Negative,
,,,,,,dry feast overworked automated service awkward room,,,Negative,Negative,Negative,
,,,,,,irritating manager unwelcoming feel,,,,Negative,Negative,
,,,,,,rubbery hamburger unresponsive concierge uncomfortable feelings,,,Negative,Negative,Negative,
,,,,,,rude helper dark outdoor,,,,Negative,Negative,
,,,,,,lumpy gravy disinterested virtual assistant depressing furniture,,,Negative,Negative,Negative,
,,,,,,inattentive support noisy mood,,,,Negative,Negative,
,,,,,,undercooked chocolate unaware delivery unwelcoming setting,,,Negative,Negative,Negative,
,,,,,,overworked bartender chaotic mood,,,,Negative,Negative,
,,,,,,chewy tea unpleasant customer inquiry unwelcoming lighting,,,Negative,Negative,Negative,
,,,,,,unpleasant support agent stuffy indoor,,,,Negative,Negative,
,,,,,,over-sweetened course careless order confirmation unpolished aura,,,Negative,Negative,Negative,
,,,,,,unaware check-in shabby decor,,,,Negative,Negative,
,,,,,,rubbery banquet disengaged help desk chaotic charm,,,Negative,Negative,Negative,
,,,,,,awkward chef cluttered outlook,,,,Negative,Negative,
,,,,,,lumpy waffles unaware customer service shabby sight,,,Negative,Negative,Negative,
,,,,,,distracting service desk unfriendly ambiance,,,,Negative,Negative,
,,,,,,underseasoned smoothie insincere order tracking gloomy temperature,,,Negative,Negative,Negative,
,,,,,,poor delivery service noisy setting,,,,Negative,Negative,
,,,,,,gummy soup poor caregiver chaotic space,,,Negative,Negative,Negative,
,,,,,,unpleasant help desk shabby feel,,,,Negative,Negative,
,,,,,,mediocre steak unpleasant chef sterile art,,,Negative,Negative,Negative,
,,,,,,hostile server uncomfortable layout,,,,Negative,Negative,
,,,,,,tough burger irritating staff unsophisticated comfort,,,Negative,Negative,Negative,
,,,,,,rude online support sterile environment,,,,Negative,Negative,
,,,,,,unflavorful burger rude order taker uncomfortable style,,,Negative,Negative,Negative,
,,,,,,dismissive live chat uncomfortable surroundings,,,,Negative,Negative,
,,,,,,cold vegetables disrespectful customer service unwelcoming acoustics,,,Negative,Negative,Negative,
,,,,,,untrustworthy waitress cold design,,,,Negative,Negative,
,,,,,,mushy quiche arrogant service desk harsh feel,,,Negative,Negative,Negative,
,,,,,,unhelpful digital assistant cold space,,,,Negative,Negative,
,,,,,,spoiled guacamole clumsy busboy unbalanced outlook,,,Negative,Negative,Negative,
,,,,,,slow busboy disorienting art,,,,Negative,Negative,
,,,,,,greasy chicken disorganized check-in harsh lighting sound,,,Negative,Negative,Negative,
,,,,,,unpleasant housekeeper cluttered design,,,,Negative,Negative,
,,,,,,spoiled main course confused support hotline soulless view,,,Negative,Negative,Negative,
,,,,,,unaware concierge soulless outlook,,,,Negative,Negative,
,,,,,,gross brunch unprofessional service representative unsophisticated air,,,Negative,Negative,Negative,
,,,,,,poor support agent depressing feelings,,,,Negative,Negative,
,,,,,,undercooked cookies untrustworthy support sterile room,,,Negative,Negative,Negative,
,,,,,,hostile concierge bland interior,,,,Negative,Negative,
,,,,,,disgusting salad disrespectful order processing harsh background,,,Negative,Negative,Negative,
,,,,,,unreliable busboy dull feel,,,,Negative,Negative,
,,,,,,too salty wrap inadequate digital assistant unsightly aura,,,Negative,Negative,Negative,
,,,,,,dismissive housekeeper unpleasant vibe,,,,Negative,Negative,
,,,,,,stinky chips awkward housekeeper shabby style,,,Negative,Negative,Negative,
,,,,,,unpleasant concierge boring ambiance,,,,Negative,Negative,
,,,,,,flavorless vegetables hasty service desk boring vibration,,,Negative,Negative,Negative,
,,,,,,impolite receptionist sterile indoor,,,,Negative,Negative,
,,,,,,cold course unfriendly support agent unpolished charm,,,Negative,Negative,Negative,
,,,,,,inefficient housekeeper unsophisticated interior,,,,Negative,Negative,
,,,,,,spoiled course unskilled waitstaff cold indoor,,,Negative,Negative,Negative,
,,,,,,irritating guide dirty view,,,,Negative,Negative,
,,,,,,tough soup disrespectful delivery service disagreeable decor,,,Negative,Negative,Negative,
,,,,,,disorganized reservation overcrowded interior,,,,Negative,Negative,
,,,,,,tough smoothie arrogant pickup service unwelcoming sound,,,Negative,Negative,Negative,
,,,,,,unreliable busboy sterile acoustics,,,,Negative,Negative,
,,,,,,disgusting curry disorganized clerk chaotic sound,,,Negative,Negative,Negative,
,,,,,,disrespectful chatbot cluttered setting,,,,Negative,Negative,
,,,,,,unripe fish clumsy automated service noisy mood,,,Negative,Negative,Negative,
,,,,,,unhelpful order confirmation isolated warmth,,,,Negative,Negative,
,,,,,,too salty waffles overworked attendant unpolished layout,,,Negative,Negative,Negative,
,,,,,,annoying housekeeper unbalanced tone,,,,Negative,Negative,
,,,,,,rubbery wrap disrespectful remote service uninspiring space,,,Negative,Negative,Negative,
,,,,,,disengaged housekeeper chaotic feel,,,,Negative,Negative,
,,,,,,chewy fish and chips incompetent customer care harsh design,,,Negative,Negative,Negative,
,,,,,,overworked online support unpleasant furnishing,,,,Negative,Negative,
,,,,,,salty buffet unprofessional waitstaff unappealing warmth,,,Negative,Negative,Negative,
,,,,,,unhelpful call center unpolished space,,,,Negative,Negative,
,,,,,,chewy waffles rude server noisy ambiance,,,Negative,Negative,Negative,
,,,,,,overbearing technician chaotic setting,,,,Negative,Negative,
,,,,,,stale chocolate confused customer support unwelcoming furnishing,,,Negative,Negative,Negative,
,,,,,,impolite online ordering bland ambiance,,,,Negative,Negative,
,,,,,,tough drink overbearing service representative unwelcoming interior,,,Negative,Negative,Negative,
,,,,,,unconsiderate waitress cold decor,,,,Negative,Negative,
